"","country","date","searches"
"1","Argentina",2002-12-29,NA
"2","Bolivia",2002-12-29,0.101
"3","Brazil",2002-12-29,0.073
"4","India",2002-12-29,0.062
"5","Indonesia",2002-12-29,0.101
"6","Mexico",2002-12-29,NA
"7","Philippines",2002-12-29,NA
"8","Singapore",2002-12-29,0.059
"9","Thailand",2002-12-29,NA
"10","Venezuela",2002-12-29,NA
"11","Argentina",2003-01-05,NA
"12","Bolivia",2003-01-05,0.143
"13","Brazil",2003-01-05,0.098
"14","India",2003-01-05,0.047
"15","Indonesia",2003-01-05,0.039
"16","Mexico",2003-01-05,NA
"17","Philippines",2003-01-05,NA
"18","Singapore",2003-01-05,0.059
"19","Thailand",2003-01-05,NA
"20","Venezuela",2003-01-05,NA
"21","Argentina",2003-01-12,NA
"22","Bolivia",2003-01-12,0.176
"23","Brazil",2003-01-12,0.119
"24","India",2003-01-12,0.051
"25","Indonesia",2003-01-12,0.059
"26","Mexico",2003-01-12,0.071
"27","Philippines",2003-01-12,NA
"28","Singapore",2003-01-12,0.238
"29","Thailand",2003-01-12,NA
"30","Venezuela",2003-01-12,NA
"31","Argentina",2003-01-19,NA
"32","Bolivia",2003-01-19,0.173
"33","Brazil",2003-01-19,0.17
"34","India",2003-01-19,0.032
"35","Indonesia",2003-01-19,0.039
"36","Mexico",2003-01-19,0.052
"37","Philippines",2003-01-19,NA
"38","Singapore",2003-01-19,0.175
"39","Thailand",2003-01-19,NA
"40","Venezuela",2003-01-19,NA
"41","Argentina",2003-01-26,NA
"42","Bolivia",2003-01-26,0.146
"43","Brazil",2003-01-26,0.138
"44","India",2003-01-26,0.04
"45","Indonesia",2003-01-26,0.112
"46","Mexico",2003-01-26,0.048
"47","Philippines",2003-01-26,NA
"48","Singapore",2003-01-26,0.164
"49","Thailand",2003-01-26,NA
"50","Venezuela",2003-01-26,NA
"51","Argentina",2003-02-02,NA
"52","Bolivia",2003-02-02,0.16
"53","Brazil",2003-02-02,0.202
"54","India",2003-02-02,0.038
"55","Indonesia",2003-02-02,0.049
"56","Mexico",2003-02-02,0.041
"57","Philippines",2003-02-02,NA
"58","Singapore",2003-02-02,0.163
"59","Thailand",2003-02-02,NA
"60","Venezuela",2003-02-02,NA
"61","Argentina",2003-02-09,NA
"62","Bolivia",2003-02-09,0.225
"63","Brazil",2003-02-09,0.179
"64","India",2003-02-09,0.019
"65","Indonesia",2003-02-09,0.06
"66","Mexico",2003-02-09,0.042
"67","Philippines",2003-02-09,NA
"68","Singapore",2003-02-09,0.15
"69","Thailand",2003-02-09,NA
"70","Venezuela",2003-02-09,NA
"71","Argentina",2003-02-16,0.046
"72","Bolivia",2003-02-16,0.109
"73","Brazil",2003-02-16,0.239
