"","country","date","searches"
"1","Argentina",2002-12-29,NA
"2","Australia",2002-12-29,NA
"3","Austria",2002-12-29,NA
"4","Belgium",2002-12-29,NA
"5","Bolivia",2002-12-29,NA
"6","Brazil",2002-12-29,174
"7","Bulgaria",2002-12-29,NA
"8","Canada",2002-12-29,NA
"9","Chile",2002-12-29,NA
"10","France",2002-12-29,NA
"11","Germany",2002-12-29,NA
"12","Hungary",2002-12-29,NA
"13","Japan",2002-12-29,NA
"14","Mexico",2002-12-29,NA
"15","Netherlands",2002-12-29,NA
"16","New.Zealand",2002-12-29,NA
"17","Norway",2002-12-29,NA
"18","Paraguay",2002-12-29,NA
"19","Peru",2002-12-29,329
"20","Poland",2002-12-29,NA
"21","Romania",2002-12-29,NA
"22","Russia",2002-12-29,NA
"23","South.Africa",2002-12-29,NA
"24","Spain",2002-12-29,NA
"25","Sweden",2002-12-29,NA
"26","Switzerland",2002-12-29,NA
"27","Ukraine",2002-12-29,NA
"28","United.States",2002-12-29,NA
"29","Uruguay",2002-12-29,NA
"30","Argentina",2003-01-05,NA
"31","Australia",2003-01-05,NA
"32","Austria",2003-01-05,NA
"33","Belgium",2003-01-05,NA
"34","Bolivia",2003-01-05,NA
"35","Brazil",2003-01-05,162
"36","Bulgaria",2003-01-05,NA
"37","Canada",2003-01-05,NA
"38","Chile",2003-01-05,NA
"39","France",2003-01-05,NA
"40","Germany",2003-01-05,NA
"41","Hungary",2003-01-05,NA
"42","Japan",2003-01-05,NA
"43","Mexico",2003-01-05,NA
"44","Netherlands",2003-01-05,NA
"45","New.Zealand",2003-01-05,NA
"46","Norway",2003-01-05,NA
"47","Paraguay",2003-01-05,NA
"48","Peru",2003-01-05,315
"49","Poland",2003-01-05,NA
"50","Romania",2003-01-05,NA
"51","Russia",2003-01-05,NA
"52","South.Africa",2003-01-05,NA
"53","Spain",2003-01-05,NA
"54","Sweden",2003-01-05,NA
"55","Switzerland",2003-01-05,NA
"56","Ukraine",2003-01-05,NA
"57","United.States",2003-01-05,NA
"58","Uruguay",2003-01-05,NA
"59","Argentina",2003-01-12,NA
"60","Australia",2003-01-12,NA
"61","Austria",2003-01-12,NA
"62","Belgium",2003-01-12,NA
"63","Bolivia",2003-01-12,NA
"64","Brazil",2003-01-12,174
"65","Bulgaria",2003-01-12,NA
"66","Canada",2003-01-12,NA
"67","Chile",2003-01-12,1
"68","France",2003-01-12,NA
"69","Germany",2003-01-12,NA
"70","Hungary",2003-01-12,NA
"71","Japan",2003-01-12,NA
"72","Mexico",2003-01-12,NA
"73","Netherlands",2003-01-12,NA
"74","New.Zealand",2003-01-12,NA
"75","Norway",2003-01-12,NA
"76","Paraguay",2003-01-12,NA
"77","Peru",2003-01-12,314
"78","Poland",2003-01-12,NA
"79","Romania",2003-01-12,NA
"80","Russia",2003-01-12,NA
"81","South.Africa",2003-01-12,NA
"82","Spain",2003-01-12,NA
"83","Sweden",2003-01-12,NA
"84","Switzerland",2003-01-12,NA
"85","Ukraine",2003-01-12,NA
"86","United.States",2003-01-12,NA
"87","Uruguay",2003-01-12,NA
"88","Argentina",2003-01-19,NA
"89","Australia",2003-01-19,NA
"90","Austria",2003-01-19,NA
"91","Belgium",2003-01-19,NA
"92","Bolivia",2003-01-19,NA
"93","Brazil",2003-01-19,162
"94","Bulgaria",2003-01-19,NA
"95","Canada",2003-01-19,NA
"96","Chile",2003-01-19,0
"97","France",2003-01-19,NA
"98","Germany",2003-01-19,NA
"99","Hungary",2003-01-19,NA
"100","Japan",2003-01-19,NA
"101","Mexico",2003-01-19,NA
"102","Netherlands",2003-01-19,NA
"103","New.Zealand",2003-01-19,NA
"104","Norway",2003-01-19,NA
"105","Paraguay",2003-01-19,NA
"106","Peru",2003-01-19,267
"107","Poland",2003-01-19,NA
"108","Romania",2003-01-19,NA
"109","Russia",2003-01-19,NA
"110","South.Africa",2003-01-19,NA
"111","Spain",2003-01-19,NA
"112","Sweden",2003-01-19,NA
"113","Switzerland",2003-01-19,NA
"114","Ukraine",2003-01-19,NA
"115","United.States",2003-01-19,NA
"116","Uruguay",2003-01-19,NA
"117","Argentina",2003-01-26,NA
"118","Australia",2003-01-26,NA
"119","Austria",2003-01-26,NA
"120","Belgium",2003-01-26,NA
"121","Bolivia",2003-01-26,NA
"122","Brazil",2003-01-26,131
"123","Bulgaria",2003-01-26,NA
"124","Canada",2003-01-26,NA
"125","Chile",2003-01-26,0
"126","France",2003-01-26,NA
"127","Germany",2003-01-26,NA
"128","Hungary",2003-01-26,NA
"129","Japan",2003-01-26,NA
"130","Mexico",2003-01-26,NA
"131","Netherlands",2003-01-26,NA
"132","New.Zealand",2003-01-26,NA
"133","Norway",2003-01-26,NA
"134","Paraguay",2003-01-26,NA
"135","Peru",2003-01-26,241
"136","Poland",2003-01-26,NA
"137","Romania",2003-01-26,NA
"138","Russia",2003-01-26,NA
"139","South.Africa",2003-01-26,NA
"140","Spain",2003-01-26,NA
"141","Sweden",2003-01-26,NA
"142","Switzerland",2003-01-26,NA
"143","Ukraine",2003-01-26,NA
"144","United.States",2003-01-26,NA
"145","Uruguay",2003-01-26,NA
"146","Argentina",2003-02-02,136
"147","Australia",2003-02-02,NA
"148","Austria",2003-02-02,NA
"149","Belgium",2003-02-02,NA
"150","Bolivia",2003-02-02,NA
"151","Brazil",2003-02-02,151
"152","Bulgaria",2003-02-02,NA
"153","Canada",2003-02-02,NA
"154","Chile",2003-02-02,0
"155","France",2003-02-02,NA
"156","Germany",2003-02-02,NA
"157","Hungary",2003-02-02,NA
"158","Japan",2003-02-02,NA
"159","Mexico",2003-02-02,NA
"160","Netherlands",2003-02-02,NA
"161","New.Zealand",2003-02-02,NA
"162","Norway",2003-02-02,NA
"163","Paraguay",2003-02-02,NA
"164","Peru",2003-02-02,227
"165","Poland",2003-02-02,NA
"166","Romania",2003-02-02,NA
"167","Russia",2003-02-02,NA
"168","South.Africa",2003-02-02,NA
"169","Spain",2003-02-02,NA
"170","Sweden",2003-02-02,NA
"171","Switzerland",2003-02-02,NA
"172","Ukraine",2003-02-02,NA
"173","United.States",2003-02-02,NA
"174","Uruguay",2003-02-02,NA
"175","Argentina",2003-02-09,145
